customer_id,cluster,segment
3,3,Core Everyday Shoppers
4,4,Pet and Home Essentials
5,3,Core Everyday Shoppers
7,2,Tech-Savvy Singles
8,2,Tech-Savvy Singles
9,4,Pet and Home Essentials
10,0,High-Value Families
11,0,High-Value Families
12,3,Core Everyday Shoppers
14,4,Pet and Home Essentials
15,4,Pet and Home Essentials
16,3,Core Everyday Shoppers
18,2,Tech-Savvy Singles
19,1,Budget-Conscious Shoppers
20,0,High-Value Families
22,4,Pet and Home Essentials
24,4,Pet and Home Essentials
25,3,Core Everyday Shoppers
26,0,High-Value Families
27,3,Core Everyday Shoppers
28,3,Core Everyday Shoppers
29,3,Core Everyday Shoppers
30,4,Pet and Home Essentials
31,2,Tech-Savvy Singles
33,1,Budget-Conscious Shoppers
34,3,Core Everyday Shoppers
35,3,Core Everyday Shoppers
36,0,High-Value Families
37,0,High-Value Families
38,1,Budget-Conscious Shoppers
39,0,High-Value Families
40,0,High-Value Families
41,4,Pet and Home Essentials
42,3,Core Everyday Shoppers
44,4,Pet and Home Essentials
46,4,Pet and Home Essentials
47,1,Budget-Conscious Shoppers
48,3,Core Everyday Shoppers
49,0,High-Value Families
50,0,High-Value Families
52,2,Tech-Savvy Singles
53,3,Core Everyday Shoppers
54,2,Tech-Savvy Singles
55,0,High-Value Families
56,3,Core Everyday Shoppers
57,3,Core Everyday Shoppers
59,3,Core Everyday Shoppers
60,0,High-Value Families
61,4,Pet and Home Essentials
62,0,High-Value Families
63,4,Pet and Home Essentials
64,3,Core Everyday Shoppers
66,4,Pet and Home Essentials
69,4,Pet and Home Essentials
70,2,Tech-Savvy Singles
71,4,Pet and Home Essentials
72,4,Pet and Home Essentials
73,2,Tech-Savvy Singles
74,4,Pet and Home Essentials
75,2,Tech-Savvy Singles
76,3,Core Everyday Shoppers
77,4,Pet and Home Essentials
78,0,High-Value Families
79,0,High-Value Families
80,3,Core Everyday Shoppers
81,3,Core Everyday Shoppers
82,3,Core Everyday Shoppers
83,2,Tech-Savvy Singles
84,0,High-Value Families
85,1,Budget-Conscious Shoppers
86,3,Core Everyday Shoppers
87,0,High-Value Families
89,4,Pet and Home Essentials
90,2,Tech-Savvy Singles
91,3,Core Everyday Shoppers
92,3,Core Everyday Shoppers
94,4,Pet and Home Essentials
95,2,Tech-Savvy Singles
97,3,Core Everyday Shoppers
100,3,Core Everyday Shoppers
102,2,Tech-Savvy Singles
103,4,Pet and Home Essentials
105,0,High-Value Families
106,2,Tech-Savvy Singles
107,0,High-Value Families
108,3,Core Everyday Shoppers
109,4,Pet and Home Essentials
110,3,Core Everyday Shoppers
111,4,Pet and Home Essentials
112,3,Core Everyday Shoppers
113,3,Core Everyday Shoppers
114,1,Budget-Conscious Shoppers
115,2,Tech-Savvy Singles
116,2,Tech-Savvy Singles
117,0,High-Value Families
119,4,Pet and Home Essentials
120,4,Pet and Home Essentials
121,1,Budget-Conscious Shoppers
122,0,High-Value Families
123,0,High-Value Families
124,4,Pet and Home Essentials
125,4,Pet and Home Essentials
126,0,High-Value Families
127,0,High-Value Families
128,2,Tech-Savvy Singles
129,4,Pet and Home Essentials
130,3,Core Everyday Shoppers
131,3,Core Everyday Shoppers
132,3,Core Everyday Shoppers
134,3,Core Everyday Shoppers
135,3,Core Everyday Shoppers
136,3,Core Everyday Shoppers
137,4,Pet and Home Essentials
138,3,Core Everyday Shoppers
139,4,Pet and Home Essentials
141,4,Pet and Home Essentials
