antecedents_str,consequents_str,support,confidence,lift
"cereals, oil",eggs,0.011857121683711279,0.437956204379562,2.132468494791127
"eggs, green tea",cereals,0.011017242231115063,0.4616977225672878,2.1190983225588376
"cereals, oatmeal",eggs,0.020700558272812607,0.4346473029045643,2.116357002186983
"cereals, chocolate bread",eggs,0.01363568993626797,0.43192488262910794,2.1031011665373525
"cereals, tea",eggs,0.01995948816758065,0.4307036247334754,2.0971546952682885
"butter, cereals",eggs,0.033199940714391585,0.4274809160305344,2.0814628870276755
"cereals, green tea",eggs,0.011017242231115063,0.4272030651340996,2.0801099931150615
"butter, honey",eggs,0.018971394693938045,0.42714126807563957,2.0798090948085206
"bacon, milk",eggs,0.01072081418902228,0.4263261296660118,2.075840074710066
"milk, tea",eggs,0.01047379082061163,0.42570281124497994,2.072805052299649
"cereals, milk",butter,0.018773775999209524,0.43132803632236094,2.068351287183347
"butter, chocolate bread",eggs,0.013092238525764537,0.4233226837060703,2.061215886671775
"butter, tea",eggs,0.019070204041302306,0.42278203723986857,2.0585834052855856
"cereals, milk",eggs,0.01837853860975248,0.42224744608399545,2.055980408031309
"cereals, whole weat flour",butter,0.011214860925843584,0.42830188679245274,2.0538399645974974
"eggs, green tea",butter,0.010177362778518847,0.42650103519668736,2.0452043244293177
"butter, milk",eggs,0.017785682525566917,0.4195804195804196,2.0429942922124784
"butter, eggs",cereals,0.033199940714391585,0.44415069398545937,2.038561042394486
"butter, milk",cereals,0.018773775999209524,0.44289044289044294,2.032776747062462
"cereals, whole weat flour",eggs,0.010918432883750802,0.41698113207547166,2.0303380068173253
