antecedents_str,consequents_str,support,confidence,lift
"cooking oil, dog food",napkins,0.015663160636946824,0.371141975308642,2.6554983503618566
"dog food, napkins",cooking oil,0.015663160636946824,0.351865398683248,2.599960184832498
"babies food, cooking oil",napkins,0.015142140740499528,0.3627145085803432,2.595200336438434
"babies food, napkins",cooking oil,0.015142140740499528,0.3512084592145015,2.5951060091477687
"babies food, dog food",napkins,0.015825979354586604,0.34541577825159914,2.4714289688556286
"babies food, dog food",cooking oil,0.015304959458139308,0.33404406538734893,2.4682769980702832
"cooking oil, napkins",babies food,0.015142140740499528,0.36384976525821594,2.406517863733481
"cooking oil, dog food",babies food,0.015304959458139308,0.3626543209876543,2.3986111443484552
"dog food, napkins",babies food,0.015825979354586604,0.35552304316020483,2.35144456868549
"cooking oil, napkins",dog food,0.015663160636946824,0.3763693270735524,2.3143623678617784
"babies food, napkins",dog food,0.015825979354586604,0.36706948640483383,2.257175982780545
"babies food, cooking oil",dog food,0.015304959458139308,0.3666146645865835,2.254379202000279
cooking oil,napkins,0.04161646422872774,0.307507218479307,2.2001955201027585
napkins,cooking oil,0.04161646422872774,0.29776328052190126,2.2001955201027585
napkins,babies food,0.04311439643101371,0.3084808946877913,2.0403057925839723
babies food,napkins,0.04311439643101371,0.2851604566013354,2.0403057925839723
cooking oil,babies food,0.04174671920283956,0.30846968238691047,2.0402316339477995
babies food,cooking oil,0.04174671920283956,0.2761145810898126,2.0402316339477995
dog food,napkins,0.044514637402715815,0.2737284741690028,1.9585106508051975
napkins,dog food,0.044514637402715815,0.3184995340167754,1.9585106508051973
